2023/11/21 14:31:07 [warn] 1#1: the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
nginx: [warn] the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
2023/11/21 14:31:07 [notice] 1#1: using the "epoll" event method
2023/11/21 14:31:07 [notice] 1#1: nginx/1.25.2
2023/11/21 14:31:07 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2023/11/21 14:31:07 [notice] 1#1: OS: Linux 6.2.0-1015-aws
2023/11/21 14:31:07 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/11/21 14:31:07 [notice] 1#1: start worker processes
***HIDDEN*** - - [21/Nov/2023:15:26:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:27:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:27:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:28:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:28:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:29:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:29:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:30:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:30:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:31:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:31:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:32:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:32:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:33:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:33:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:34:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:34:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:35:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:35:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:36:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:36:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:37:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:37:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:38:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:38:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:39:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:39:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:40:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:40:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:41:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:41:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:42:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:42:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:43:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:43:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:44:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:44:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:45:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:45:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:46:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:46:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:47:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:47:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:48:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:48:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:49:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:49:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:50:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:50:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:51:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:51:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:52:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:52:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:53:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:53:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:54:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:54:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:55:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:55:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:56:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:56:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:57:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:57:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:58:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:58:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:59:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:59:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:00:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:00:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:01:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:01:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:02:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
